id,accident_risk
518138,0.23
518139,0.602
518140,0.376
518141,0.664
518142,0.179
518143,0.248
518144,0.398
518145,0.414
518146,0.345
518147,0.336
518148,0.299
518149,0.564
518150,0.276
518151,0.356
518152,0.164
518153,0.333
518154,0.272
518155,0.286
518156,0.305
518157,0.362
518158,0.458
518159,0.217
518160,0.411
518161,0.641
518162,0.605
518163,0.278
518164,0.496
518165,0.116
518166,0.313
518167,0.299
518168,0.43
518169,0.256
518170,0.263
518171,0.176
518172,0.123
518173,0.435
518174,0.344
518175,0.327
518176,0.231
518177,0.341
518178,0.35
518179,0.401
518180,0.199
518181,0.445
518182,0.446
518183,0.274
518184,0.457
518185,0.437
518186,0.229
518187,0.501
518188,0.355
518189,0.455
518190,0.305
518191,0.392
518192,0.625
518193,0.343
518194,0.679
518195,0.345
518196,0.182
518197,0.205
518198,0.594
518199,0.588
518200,0.22
518201,0.352
518202,0.197
518203,0.692
518204,0.107
518205,0.177
518206,0.197
518207,0.515
518208,0.289
518209,0.352
518210,0.374
518211,0.343
518212,0.424
518213,0.446
518214,0.338
518215,0.328
518216,0.54
518217,0.035
518218,0.442
518219,0.136
518220,0.411
518221,0.27
518222,0.401
518223,0.127
518224,0.525
518225,0.562
518226,0.061
518227,0.254
518228,0.258
518229,0.294
518230,0.267
518231,0.157
518232,0.407
518233,0.265
518234,0.272
518235,0.371
518236,0.119
518237,0.265
518238,0.367
518239,0.199
518240,0.664
518241,0.493
518242,0.206
518243,0.256
518244,0.443
518245,0.481
518246,0.293
518247,0.163
518248,0.283
518249,0.345
518250,0.198
518251,0.442
518252,0.249
518253,0.173
518254,0.349
518255,0.312
518256,0.528
518257,0.264
518258,0.362
518259,0.113
518260,0.295
518261,0.453
518262,0.341
518263,0.253
518264,0.363
518265,0.389
518266,0.498
518267,0.336
518268,0.348
518269,0.413
518270,0.238
518271,0.53
518272,0.402
518273,0.293
518274,0.263
518275,0.604
518276,0.301
518277,0.419
518278,0.222
518279,0.295
518280,0.464
518281,0.328
518282,0.632
518283,0.288
518284,0.337
518285,0.229
518286,-0.02
518287,0.377
518288,0.238
518289,0.424
518290,0.323
518291,0.169
518292,0.192
518293,0.224
518294,0.292
518295,0.383
518296,0.566
518297,0.353
518298,0.495
518299,0.303
518300,0.311
518301,0.285
518302,0.263
518303,0.399
518304,0.144
518305,0.405
518306,0.249
518307,0.552
518308,0.064
518309,0.437
518310,0.356
518311,0.249
518312,0.388
518313,0.148
518314,0.317
518315,0.306
518316,0.246
518317,0.381
518318,0.433
518319,0.438
518320,0.473
518321,0.269
518322,0.2
518323,0.434
518324,0.176
518325,0.527
518326,0.296
518327,0.47
518328,0.202
518329,0.486
518330,0.205
518331,0.372
518332,0.456
518333,0.257
518334,0.184
518335,0.416
518336,0.312
518337,0.115
518338,0.383
518339,0.187
518340,0.561
518341,0.514
518342,0.312
518343,0.416
518344,0.293
518345,0.369
518346,0.456
518347,0.306
518348,0.348
518349,0.31
518350,0.404
518351,0.457
518352,0.434
518353,0.381
518354,0.308
518355,0.554
518356,0.594
518357,0.378
518358,0.119
518359,0.293
518360,0.566
518361,0.361
518362,0.211
518363,0.353
518364,0.398
518365,0.398
518366,0.463
518367,0.545
518368,0.567
518369,0.509
518370,0.368
518371,0.295
518372,0.607
518373,0.23
518374,0.386
518375,0.545
518376,0.302
518377,0.298
518378,0.174
518379,0.42
518380,0.378
518381,0.293
518382,0.469
518383,0.489
518384,0.274
518385,0.404
518386,0.223
518387,0.14
518388,0.39
518389,0.309
518390,0.495
518391,0.306
518392,0.468
518393,0.203
518394,0.137
518395,0.643
518396,0.529
518397,0.477
518398,0.12
518399,0.236
518400,0.316
518401,0.092
518402,0.378
518403,0.403
518404,0.264
518405,0.591
518406,0.333
518407,0.286
518408,0.108
518409,0.297
518410,0.391
518411,0.653
518412,0.438
518413,0.137
518414,0.425
518415,0.304
518416,0.214
518417,0.748
518418,0.318
518419,0.36
518420,0.29
518421,0.232
518422,0.311
518423,0.365
518424,0.138
518425,0.367
518426,0.331
518427,0.468
518428,0.147
518429,0.224
518430,0.29
518431,0.279
518432,0.628
518433,0.335
518434,0.294
518435,0.358
518436,0.568
518437,0.34
518438,0.441
518439,0.155
518440,0.18
518441,0.369
518442,0.441
518443,0.283
518444,0.659
518445,0.138
518446,0.327
518447,0.502
518448,0.352
518449,0.423
518450,0.278
518451,0.382
518452,0.512
518453,0.625
518454,0.501
518455,0.567
518456,0.281
518457,0.59
518458,0.495
518459,0.059
518460,0.65
518461,0.103
518462,0.229
518463,0.345
518464,0.487
518465,0.381
518466,0.354
518467,0.38
518468,0.672
518469,0.413
518470,0.302
518471,0.348
518472,0.374
518473,0.244
518474,0.318
518475,0.066
518476,0.244
518477,0.446
518478,0.4
518479,0.226
518480,0.446
518481,0.465
518482,0.282
518483,0.447
518484,0.292
518485,0.257
518486,0.441
518487,0.491
518488,0.22
518489,0.218
518490,0.163
518491,0.483
518492,0.287
518493,0.201
518494,0.155
518495,0.254
518496,0.294
518497,0.474
518498,0.324
518499,0.102
518500,0.346
518501,0.556
518502,0.148
518503,0.413
518504,0.483
518505,0.139
518506,0.372
518507,0.495
518508,0.362
518509,0.221
518510,0.117
518511,0.559
518512,0.118
518513,0.399
518514,0.268
518515,0.194
518516,0.08
518517,0.356
518518,0.326
518519,0.25
518520,0.596
518521,0.209
518522,0.214
518523,0.549
518524,0.15
518525,0.351
518526,0.434
518527,0.421
518528,0.607
518529,0.296
518530,0.357
518531,0.263
518532,0.326
518533,0.4
518534,0.63
518535,0.261
518536,0.348
518537,0.25
518538,0.412
518539,0.491
518540,0.551
518541,0.435
518542,0.134
518543,0.205
518544,0.145
518545,0.279
518546,0.415
518547,0.176
518548,0.385
518549,0.189
518550,0.117
518551,0.273
518552,0.49
518553,0.439
518554,0.421
518555,0.644
518556,0.341
518557,0.228
518558,0.418
518559,0.298
518560,0.323
518561,0.062
518562,0.335
518563,0.586
518564,0.286
518565,0.278
518566,0.509
518567,0.373
518568,0.293
518569,0.591
518570,0.326
518571,0.173
518572,0.369
518573,0.304
518574,0.61
518575,0.257
518576,0.468
518577,0.456
518578,0.365
518579,0.385
518580,0.403
518581,0.407
518582,0.196
518583,0.158
518584,0.207
518585,0.174
518586,0.627
518587,0.308
518588,0.603
518589,0.228
518590,0.738
518591,0.497
518592,0.63
518593,0.319
518594,0.53
518595,0.464
518596,0.401
518597,0.183
518598,0.461
518599,0.209
518600,0.494
518601,0.401
518602,0.425
518603,0.343
518604,0.132
518605,0.429
518606,0.241
518607,0.568
518608,0.197
518609,0.241
518610,0.349
518611,0.247
518612,0.554
518613,0.15
518614,0.171
518615,0.256
518616,0.721
518617,0.286
518618,0.114
518619,0.306
518620,-0.02
518621,0.444
518622,0.317
518623,0.247
518624,0.351
518625,0.233
518626,0.294
518627,0.196
518628,0.283
518629,0.324
518630,0.629
518631,0.183
518632,0.325
518633,0.137
518634,0.613
518635,0.133
518636,0.268
518637,0.29
518638,0.214
518639,0.562
518640,0.523
518641,0.186
518642,0.143
518643,0.36
518644,0.638
518645,0.24
518646,0.217
518647,0.167
518648,0.308
518649,0.461
518650,0.459
518651,0.324
518652,0.346
518653,0.174
518654,0.492
518655,0.318
518656,0.415
518657,0.099
518658,0.109
518659,0.679
518660,0.269
518661,0.24
518662,0.135
518663,0.304
518664,0.267
518665,0.381
518666,0.216
518667,0.579
518668,0.455
518669,0.407
518670,0.51
518671,0.464
518672,0.557
518673,0.329
518674,0.152
518675,0.373
518676,0.232
518677,0.169
518678,0.203
518679,0.327
518680,0.293
518681,0.462
518682,0.21
518683,0.32
518684,0.462
518685,0.308
518686,0.261
518687,0.406
518688,0.095
518689,0.306
518690,0.344
518691,0.382
518692,0.289
518693,0.503
518694,0.199
518695,0.243
518696,0.209
518697,0.349
518698,0.337
518699,0.541
518700,0.279
518701,0.352
518702,0.32
518703,0.164
518704,0.423
518705,0.503
518706,0.452
518707,0.405
518708,0.242
518709,0.187
518710,0.488
518711,0.422
518712,0.124
518713,0.21
518714,0.315
518715,0.62
518716,0.25
518717,0.057
518718,0.171
518719,0.31
518720,0.282
518721,0.601
518722,0.339
518723,0.209
518724,0.381
518725,0.079
518726,0.288
518727,0.277
518728,0.409
518729,0.302
518730,0.443
518731,0.539
518732,0.473
518733,-0.011
518734,0.586
518735,0.523
518736,0.234
518737,0.536
518738,0.193
518739,0.374
518740,0.659
518741,0.585
518742,0.171
518743,0.422
518744,0.237
518745,0.529
518746,0.422
518747,0.207
518748,0.389
518749,0.296
518750,0.233
518751,0.306
518752,0.072
518753,0.487
518754,0.587
518755,0.159
518756,0.411
518757,0.21
518758,0.401
518759,0.288
518760,0.217
518761,0.407
518762,0.397
518763,0.035
518764,0.26
518765,0.381
518766,0.475
518767,0.328
518768,0.297
518769,0.282
518770,0.557
518771,0.144
518772,0.159
518773,0.295
518774,0.07
518775,0.406
518776,0.538
518777,0.504
518778,0.392
518779,0.308
518780,0.176
518781,0.471
518782,0.274
518783,0.342
518784,0.299
518785,0.6
518786,0.299
518787,0.29
518788,0.348
518789,0.758
518790,0.374
518791,0.107
518792,0.168
518793,0.437
518794,0.404
518795,0.383
518796,0.428
518797,0.284
518798,0.047
518799,0.145
518800,0.61
518801,0.402
518802,0.291
518803,0.667
518804,0.283
518805,0.284
518806,0.378
518807,0.204
518808,-0.031
518809,0.609
518810,0.36
518811,0.314
518812,0.28
518813,0.409
518814,0.513
518815,0.206
518816,0.516
518817,0.563
518818,0.48
518819,0.29
518820,0.233
518821,0.27
518822,0.454
518823,0.286
518824,0.684
518825,0.36
518826,0.212
518827,0.248
518828,0.241
518829,0.307
518830,0.141
518831,0.206
518832,0.197
518833,0.682
518834,0.435
518835,0.601
518836,0.373
518837,0.402
518838,0.07
518839,0.456
518840,0.352
518841,0.473
518842,0.345
518843,0.685
518844,0.363
518845,0.309
518846,0.352
518847,0.252
518848,0.323
518849,0.172
518850,0.443
518851,0.52
518852,0.441
518853,0.379
518854,0.477
518855,0.464
518856,0.073
518857,0.633
518858,0.349
518859,0.364
518860,0.377
518861,0.487
518862,0.334
518863,0.236
518864,0.308
518865,0.468
518866,0.112
518867,0.325
518868,0.507
518869,0.259
518870,0.393
518871,0.17
518872,0.623
518873,0.365
518874,0.543
518875,0.521
518876,0.749
518877,0.405
518878,0.49
518879,0.74
518880,0.516
518881,0.31
518882,0.605
518883,0.393
518884,0.437
518885,0.158
518886,0.165
518887,0.248
518888,0.376
518889,0.496
518890,0.396
518891,0.382
518892,0.318
518893,0.181
518894,0.573
518895,0.437
518896,0.619
518897,0.264
518898,0.263
518899,0.55
518900,0.233
518901,0.49
518902,0.353
518903,0.46
518904,0.365
518905,0.297
518906,0.588
518907,0.279
518908,0.425
518909,0.362
518910,0.395
518911,0.417
518912,0.489
518913,0.473
518914,0.242
518915,0.358
518916,0.683
518917,0.339
518918,0.302
518919,0.116
518920,0.195
518921,0.279
518922,0.083
518923,0.503
518924,0.213
518925,0.22
518926,0.244
518927,0.31
518928,0.466
518929,0.24
518930,0.28
518931,0.612
518932,0.516
518933,0.334
518934,0.284
518935,0.429
518936,0.542
518937,0.279
518938,0.227
518939,0.371
518940,0.378
518941,0.467
518942,0.447
518943,0.184
518944,0.177
518945,0.297
518946,0.202
518947,0.408
518948,0.274
518949,0.525
518950,0.238
518951,0.086
518952,0.138
518953,0.175
518954,0.227
518955,0.295
518956,0.08
518957,0.507
518958,0.389
518959,0.132
518960,0.258
518961,0.555
518962,0.281
518963,0.267
518964,0.315
518965,0.583
518966,0.291
518967,0.345
518968,0.255
518969,0.314
518970,0.295
518971,0.766
518972,0.404
518973,0.38
518974,0.413
518975,0.272
518976,0.392
518977,0.424
518978,0.15
518979,0.449
518980,0.166
518981,0.373
518982,0.347
518983,0.396
518984,0.222
518985,0.395
518986,0.03
518987,0.325
518988,0.22
518989,0.214
518990,0.395
518991,0.287
518992,0.45
518993,0.29
518994,0.729
518995,0.46
518996,0.358
518997,0.25
518998,0.59
518999,0.371
519000,0.378
519001,0.345
519002,0.271
519003,0.34
519004,0.104
519005,0.474
519006,0.357
519007,0.397
519008,0.299
519009,0.466
519010,0.485
519011,0.336
519012,0.58
519013,0.406
519014,0.429
519015,0.53
519016,0.48
519017,0.585
519018,0.284
519019,0.307
519020,0.363
519021,0.342
519022,0.3
519023,0.257
519024,0.463
519025,0.5
519026,0.301
519027,0.256
519028,0.582
519029,0.341
519030,0.151
519031,0.426
519032,0.197
519033,0.215
519034,0.266
519035,0.214
519036,0.198
519037,0.388
519038,0.375
519039,0.23
519040,0.442
519041,0.405
519042,0.313
519043,0.365
519044,0.322
519045,0.285
519046,0.512
519047,0.276
519048,0.247
519049,0.383
519050,0.244
519051,0.27
519052,0.306
519053,0.371
519054,0.354
519055,0.378
519056,0.411
519057,0.045
519058,0.333
519059,0.412
519060,0.353
519061,0.394
519062,0.298
519063,0.3
519064,0.361
519065,0.394
519066,0.326
519067,0.335
519068,0.456
519069,0.179
519070,0.429
519071,0.133
519072,0.338
519073,0.248
519074,0.413
519075,0.371
519076,0.394
519077,0.225
519078,0.408
519079,0.167
519080,0.237
519081,0.362
519082,0.398
519083,0.414
519084,0.306
519085,0.203
519086,0.53
519087,0.344
519088,0.357
519089,0.469
519090,0.301
519091,0.407
519092,0.353
519093,0.378
519094,0.463
519095,0.132
519096,0.45
519097,0.365
519098,0.152
519099,0.391
519100,0.222
519101,0.259
519102,0.448
519103,0.312
519104,0.591
519105,0.21
519106,0.08
519107,0.206
519108,0.381
519109,0.698
519110,0.344
519111,0.419
519112,0.382
519113,0.188
519114,0.274
519115,0.246
519116,0.203
519117,0.171
519118,0.183
519119,0.378
519120,0.551
519121,0.472
519122,0.432
519123,0.179
519124,0.489
519125,0.659
519126,0.363
519127,0.356
519128,0.1
519129,0.142
519130,0.516
519131,0.327
519132,0.093
519133,0.245
519134,0.06
519135,0.236
519136,0.452
519137,0.289
519138,0.623
519139,0.309
519140,0.317
519141,0.385
519142,0.224
519143,0.304
519144,0.341
519145,0.261
519146,0.07
519147,0.384
519148,0.35
519149,0.363
519150,0.227
519151,0.26
519152,0.694
519153,0.281
519154,0.045
519155,0.146
519156,0.127
519157,0.321
519158,0.185
519159,0.361
519160,0.329
519161,0.337
519162,0.488
519163,0.421
519164,0.239
519165,0.426
519166,0.467
519167,0.158
519168,0.172
519169,0.334
519170,0.305
519171,0.456
519172,0.321
519173,0.417
519174,0.446
519175,0.507
519176,0.596
519177,0.507
519178,0.126
519179,0.319
519180,0.646
519181,0.061
519182,0.459
519183,0.242
519184,0.342
519185,0.438
519186,0.18
519187,0.357
519188,0.247
519189,0.346
519190,0.446
519191,0.224
519192,0.382
519193,0.352
519194,0.196
519195,0.681
519196,0.195
519197,0.395
519198,0.269
519199,0.414
519200,0.309
519201,0.369
519202,0.595
519203,0.455
519204,0.109
519205,0.168
519206,0.293
519207,0.658
519208,0.205
519209,0.413
519210,0.326
519211,0.627
519212,0.51
519213,0.321
519214,0.511
519215,0.431
519216,0.606
519217,0.345
519218,0.581
519219,0.171
519220,0.255
519221,0.315
519222,0.403
519223,0.46
519224,0.255
519225,0.363
519226,0.275
519227,0.443
519228,0.396
519229,0.492
519230,0.348
519231,0.132
519232,0.416
519233,0.226
519234,-0.005
519235,0.246
519236,0.35
519237,0.138
519238,0.212
519239,0.371
519240,0.348
519241,0.279
519242,0.245
519243,0.63
519244,0.248
519245,0.392
519246,0.162
519247,0.491
519248,0.128
519249,0.411
519250,0.266
519251,0.177
519252,0.213
519253,0.13
519254,0.26
519255,0.164
519256,0.514
519257,0.464
519258,0.361
519259,0.324
519260,0.312
519261,0.537
519262,0.251
519263,0.434
519264,0.105
519265,0.306
519266,0.42
519267,0.513
519268,0.254
519269,0.46
519270,0.246
519271,0.34
519272,0.16
519273,0.22
519274,0.158
519275,0.248
519276,0.181
519277,0.221
519278,0.261
519279,0.144
519280,0.4
519281,0.491
519282,0.411
519283,0.326
519284,0.366
519285,0.49
519286,0.285
519287,0.495
519288,0.335
519289,0.532
519290,0.032
519291,0.629
519292,0.392
519293,0.401
519294,0.237
519295,0.268
519296,0.238
519297,0.384
519298,0.362
519299,0.395
519300,0.094
519301,0.376
519302,0.601
519303,0.33
519304,0.435
519305,0.492
519306,0.442
519307,0.043
519308,0.384
519309,0.285
519310,0.515
519311,0.223
519312,0.081
519313,0.37
519314,0.24
519315,0.269
519316,0.68
519317,0.379
519318,0.244
519319,0.407
519320,0.517
519321,0.185
519322,0.211
519323,0.519
519324,0.554
519325,0.453
519326,0.64
519327,0.614
519328,0.4
519329,0.358
519330,0.779
519331,0.36
519332,0.624
519333,0.684
519334,0.488
519335,0.311
519336,0.463
519337,0.422
519338,0.359
519339,0.303
519340,0.296
519341,0.308
519342,0.642
519343,0.248
519344,0.471
519345,0.314
519346,0.276
519347,0.454
519348,0.428
519349,0.387
519350,0.745
519351,0.524
519352,0.352
519353,0.517
519354,0.513
519355,0.391
519356,0.501
519357,0.104
519358,0.381
519359,0.351
519360,0.411
519361,0.224
519362,0.405
519363,0.369
519364,0.381
519365,0.462
519366,0.201
519367,0.185
519368,0.339
519369,0.063
519370,0.427
519371,0.256
519372,0.201
519373,0.401
519374,0.427
519375,0.41
519376,0.193
519377,0.553
519378,0.406
519379,0.372
519380,0.483
519381,0.067
519382,0.394
519383,0.682
519384,0.152
519385,0.247
519386,0.126
519387,0.475
519388,0.42
519389,0.675
519390,0.091
519391,0.237
519392,0.226
519393,0.314
519394,0.318
519395,0.269
519396,0.225
519397,0.115
519398,0.301
519399,0.527
519400,0.325
519401,0.258
519402,0.1
519403,0.391
519404,0.322
519405,0.262
519406,0.519
519407,0.081
519408,0.201
519409,0.113
519410,0.74
519411,0.354
519412,0.255
519413,0.085
519414,0.193
519415,0.226
519416,0.208
519417,0.292
519418,0.342
519419,0.113
519420,0.165
519421,0.41
519422,0.387
519423,0.527
519424,0.3
519425,0.081
519426,0.381
519427,0.458
519428,0.256
519429,0.517
519430,0.492
519431,0.295
519432,0.453
519433,0.347
519434,0.297
519435,0.374
519436,0.071
519437,0.459
519438,0.204
519439,0.436
519440,0.383
519441,0.186
519442,0.229
519443,0.34
519444,0.387
519445,0.164
519446,0.45
519447,0.486
519448,0.383
519449,0.072
519450,0.48
519451,0.36
519452,0.449
519453,0.186
519454,0.249
519455,0.603
519456,0.409
519457,0.267
519458,0.36
519459,0.031
519460,0.283
519461,0.331
519462,0.368
519463,0.335
519464,0.175
519465,0.369
519466,0.233
519467,0.357
519468,0.143
519469,0.441
519470,0.31
519471,0.455
519472,0.609
519473,0.351
519474,0.433
519475,0.535
519476,0.449
519477,0.188
519478,0.349
519479,0.433
519480,0.578
519481,0.383
519482,0.398
519483,0.316
519484,0.317
519485,0.449
519486,0.143
519487,0.458
519488,0.304
519489,0.503
519490,0.481
519491,0.317
519492,0.522
519493,0.264
519494,0.274
519495,0.295
519496,0.403
519497,0.067
519498,0.113
519499,0.433
519500,0.272
519501,0.096
519502,0.343
519503,0.254
519504,0.289
519505,0.655
519506,0.242
519507,0.599
519508,0.506
519509,0.513
519510,0.204
519511,0.4
519512,0.35
519513,0.29
519514,0.162
519515,0.448
519516,0.528
519517,0.207
519518,0.482
519519,-0.011
519520,0.212
519521,0.425
519522,0.086
519523,0.537
519524,0.206
519525,0.265
519526,0.303
519527,0.407
519528,0.382
519529,0.42
519530,0.258
519531,0.266
519532,0.354
519533,0.434
519534,0.549
519535,0.315
519536,0.04
519537,0.09
519538,0.009
519539,0.456
519540,0.46
519541,0.825
519542,0.457
519543,0.31
519544,0.348
519545,0.285
519546,0.136
519547,0.472
519548,0.34
519549,0.387
519550,0.038
519551,0.37
519552,0.698
519553,0.355
519554,0.372
519555,0.499
519556,0.424
519557,0.526
519558,0.164
519559,0.218
519560,0.653
519561,0.422
519562,0.451
519563,0.282
519564,0.131
519565,0.087
519566,0.262
519567,0.435
519568,0.153
519569,0.096
519570,0.16
519571,0.207
519572,0.371
519573,0.328
519574,0.503
519575,0.304
519576,0.618
519577,0.589
519578,0.272
519579,0.464
519580,0.242
519581,0.33
519582,0.215
519583,0.592
519584,0.434
519585,0.37
519586,0.473
519587,0.242
519588,0.364
519589,0.421
519590,0.165
519591,0.137
519592,0.394
519593,0.305
519594,0.214
519595,0.329
519596,0.312
519597,0.359
519598,0.129
519599,0.724
519600,0.516
519601,0.068
519602,0.481
519603,0.343
519604,0.283
519605,0.144
519606,0.28
519607,0.472
519608,0.25
519609,0.113
519610,0.358
519611,0.195
519612,0.273
519613,0.358
519614,0.404
519615,0.463
519616,0.052
519617,0.546
519618,0.261
519619,0.318
519620,0.547
519621,0.555
519622,0.443
519623,0.618
519624,0.489
519625,0.236
519626,0.137
519627,0.219
519628,0.362
519629,0.509
519630,0.308
519631,0.363
519632,0.235
519633,0.262
519634,0.145
519635,0.102
519636,0.397
519637,0.362
519638,0.22
519639,0.41
519640,0.42
519641,0.481
519642,0.379
519643,0.667
519644,0.333
519645,0.097
519646,0.059
519647,0.09
519648,0.573
519649,0.511
519650,0.202
519651,0.446
519652,0.402
519653,0.234
519654,0.419
519655,0.359
519656,0.189
519657,0.561
519658,0.123
519659,0.37
519660,0.252
519661,0.198
519662,0.356
519663,0.188
519664,0.56
519665,0.243
519666,0.382
519667,0.607
519668,0.24
519669,0.534
519670,0.336
519671,0.642
519672,0.273
519673,0.52
519674,0.366
519675,0.065
519676,0.139
519677,0.224
519678,0.54
519679,0.23
519680,0.185
519681,0.513
519682,0.407
519683,0.155
519684,0.429
519685,0.373
519686,0.497
519687,0.156
519688,0.465
519689,0.225
519690,0.68
519691,0.614
519692,0.17
519693,0.132
519694,0.503
519695,0.713
519696,0.538
519697,0.214
519698,0.36
519699,0.194
519700,0.325
519701,0.435
519702,0.252
519703,0.546
519704,0.326
519705,0.119
519706,0.255
519707,0.511
519708,0.009
519709,0.394
519710,0.411
519711,0.325
519712,0.375
519713,0.743
519714,0.288
519715,0.349
519716,0.432
519717,0.183
519718,0.115
519719,0.207
519720,0.281
519721,0.553
519722,0.57
519723,0.471
519724,0.361
519725,0.293
519726,0.339
519727,0.481
519728,0.351
519729,0.278
519730,0.462
519731,0.246
519732,0.24
519733,0.521
519734,0.395
519735,0.442
519736,0.617
519737,0.516
519738,0.402
519739,0.56
519740,0.235
519741,0.104
519742,0.582
519743,0.411
519744,0.299
519745,0.223
519746,0.504
519747,0.375
519748,0.277
519749,0.103
